Movie_Title,Release_Date,Wikipedia_URL,Genre,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Revenue
Teenage Mutant Ninja Turtles,7/29/14,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(2014_film),Ação,Jonathan Liebesman,,Megan Fox,Johnny Knoxville,Alan Ritchson,Noel Fisher,Jeremy Howard,"$125,000,000.00 ","$493,300,000.00 "
Teenage Mutant Ninja Turtles: Out of the Shadows,5/22/16,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows,Ação,Dave Green,,Megan Fox,Stephen Amell,Will Arnett,Laura Linney,Brian Tee,"$135,000,000.00 ","$242,500,000.00 "
Terminator Genisys,6/22/15,https://en.wikipedia.org/wiki/Terminator_Genisys,Ficção científica,Alan Taylor,,Arnold Schwarzenegger,J. K. Simmons,Emilia Clarke,Jason Clarke,Jai Courtney,"$155,000,000.00 ","$440,600,000.00 "
Texas Chainsaw 3D,1/4/13,https://en.wikipedia.org/wiki/Texas_Chainsaw_3D,Terror,John Luessenhop,,Alexandra Daddario,Dan Yeager,Trey Songz,Scott Eastwood,Tania Raymonde,"$20,000,000.00 ","$47,200,000.00 "
That Awkward Moment,1/27/14,https://en.wikipedia.org/wiki/That_Awkward_Moment,Comédia,Tom Gormican,,Zac Efron,Michael B. Jordan,Miles Teller,Imogen Poots,Jessica Lucas,"$8,000,000.00 ","$40,500,000.00 "
The 33,8/6/15,https://en.wikipedia.org/wiki/The_33_(film),Drama,Patricia Riggen,,Antonio Banderas,Rodrigo Santoro,Juliette Binoche,James Brolin,Lou Diamond Phillips,"$26,000,000.00 ","$24,900,000.00 "
The 5th Wave,1/22/16,https://en.wikipedia.org/wiki/The_5th_Wave_(film),Ficção científica,J Blakeson,,Chloë Grace Moretz,Nick Robinson,Alex Roe,Liev Schreiber,Maika Monroe,"$35,000,000.00 ","$110,700,000.00 "
The Age of Adaline,4/24/15,https://en.wikipedia.org/wiki/The_Age_of_Adaline,Romance,Lee Toland Krieger,,Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Amanda Crew,"$25,000,000.00 ","$65,700,000.00 "
The Amazing Spider-Man,7/3/12,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(2012_film),Ação,Marc Webb,,Andrew Garfield,Emma Stone,Max Charles,Martin Sheen,Sally Field,"$230,000,000.00 ","$757,900,000.00 "
The Angry Birds Movie,5/5/16,https://en.wikipedia.org/wiki/The_Angry_Birds_Movie,Comédia,Clay Kaytis,Fergal Reilly,Jason Sudeikis,Josh Gad,Danny McBride,Bill Hader,Maya Rudolph,"$73,000,000.00 ","$346,900,000.00 "
